Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Issue (O),Pages (O),Project URL,Descriptors (O),Number of Authors (O),Number of Authors (R),1st author (O),"Citation Count, 1st author (O)",Institution 1st author (O),Senior author (O),"Citation count, senior author (O)",Institution senior author (O),1st author (R),"Citation count, 1st author (R)",Institution 1st author (R),Senior author (R),"Citation count, senior author (R)",Institution senior author (R),"Citation count, paper (O)","Institution prestige, 1st author (O)","Institution prestige, senior author (O)","Institution prestige, 1st author (R)","Institution prestige, senior author (R)",Number of Studies (O),Discipline (O),Number of research sites (O),Secondary data (O),Methodology expertise required (O),Opportunity for expectancy bias (O),Opportunity for lack of diligence (O),Surprising result (O),Exciting result (O),Internal conceptual replications (O),Successful conceptual replications (O),Internal direct replications (O),Successful direct replications (O),Feasibility (O),Status (R),Completion (R),Secondary (R),Contact Researcher (R),Study claim date (R),Analysis completion date (R),Coder's email (R),Replicated study number (R),Test statistic (O),N (O),Reported P-value (O),Calculated P-value (O),# Tails (O),Type of analysis (O),Type of effect (O),Description of effect (O),Effect size (O),Actual Power (O),80% power,90% power,95% power,Collect materials from authors,Planned Sample,Planned Power,Original Author's Assessment,OSC reviewer (O),Test statistic (R),N (R),P-value (R),Direction (R),# Tails (R),Type of analysis (R),Type of effect (R),Replicate (R),Power (R),Effect Size (R),OSC reviewer (R),Notes (R),Project audit complete (R),R check location (R),Degree (R),Year of highest degree (R),Current position (R),Domain expertise (R),Method expertise (R),Total publications (R),Peer-reviewed articles (R),Citations (R),Implementation quality (R),Data collection quality (R),Replication similarity (R),Differences (R),Effect similarity (R),Findings similarity (R),Difficulty of implimentation (R),Surprise of outcome (R),Dummy,Number of Research sites (R),Secondary data (R),Area of expertise (R),T_N..O.,T_Test.Statistic..O.,T_TestComparison..O.,T_df1..O.,T_df2..O.,T_Test.value..O.,T_p.comparison..O.,T_pval..O.,T_pval.recalc..O.,T_pval_USE..O.,T_sign..O.,T_r..O.,T_N..R.,T_Test.Statistic..R.,T_Test.Comparison..R.,T_df1..R.,T_df2..R.,T_Test.value..R.,T_p.comparison..R.,T_pval..R.,T_pval.recalc..R.,T_pval_USE..R.,T_sign..R.,T_r..R.,T_Comparison.effects..R.O.,Type of analysis (O),Type of analysis (R),,T_sign_O,T_sign_R,T_O_larger,T_N_O_for_tables,T_N_R_for_tables,Meta-analytic estimate (Fz),O within CI R,Meta-analysis significant
37,Orienting attention in visual working memory reduces interference from memory probes.,"T Makovski, R Sussman, YV Jiang",JEPLMC,34,2,369-80,https://osf.io/0pxro/,"Adolescent, Adult, Attention, Color Perception, Cues, Discrimination Learning, Female, Humans, Inhibition (Psychology), Male, Memory, Short-Term, Orientation, Pattern Recognition, Visual, Psychophysics, Reaction Time, Retention (Psychology)",3,1,Makovski,578,Harvard University,Jiang,6598,Harvard University,Moore,1167,Elmhurst College,Moore,1167,Elmhurst College,116,6.74,6.74,1.78,1.78,3,Cognitive,1,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,1.67,3,0,0,0,0,0,1,1,0,K Moore,6/22/12,4/15/13,K Moore,3,"F(1,11) = 4.8",12,<.05,,,RM ANOVA,interaction,"For both the shape and color conditions, there will be an effect of cue type (retro cue better than simultaneous cue) on recall at all set sizes except for set size 1.",__p^2 = .3037,,23,30,36,Complete,18,0.69,1,original authors,"F(1,17)=2.37",18,0.142,same,,RM ANOVA,interaction,yes,0.69,__p^2 = .122,J Cohoon,,1,https://osf.io/saq6x/,PhD or equivalent,2010,Assistant Professor (or equivalent),Moderate Expertise,High Expertise,16,12,1155,was about the same quality as the original study,was about the same as the average study,Extremely similar,"We used the original authors' scripts. The only differences were the room and the undergraduate population tested. The room might have had different lighting or monitor settings, but the timing was precise (the most important variable). The settings seemed about the same, and the results worked out about the same as well.",Moderately similar,Extremely similar,Slightly challenging,Results were slightly surprising,X,1,No data used was pre-existing,Cognitive,12,F,is,1,11,4.8,<,0.05,0.05088911,0.05088911,,0.551178255,18,F,is,1,17,2.37,is,0.142,0.142093022,0.142093022,,0.349791589,,ANOVA,repeated measures ANOVA,,1,0,1,11,17,0.463231604,1,1
38,Binding of multidimensional context information as a distinctive characteristic of remember judgments.,"T Meiser, C Sattler, K Weisser",JEPLMC,34,1,32-49,,"Association Learning, Attention, Awareness, Humans, Judgment, Mental Recall, Orientation, Reading, Retention (Psychology), Sex Factors, Speech Perception, Stochastic Processes, Verbal Learning, Voice",3,,Meiser,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,3,r = .041,205,0.854,,,zero order correlation,correlation,no evidence of a positive correlation of individual source memory estimates for location and voice in the sample with high source memory for location and medium source memory for voice.,r = .041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,205,r,is,,,0.041,is,0.854,0.55986211,0.55986211,,0.041,,,,,,,,,,,,,,,,,,,,,,,,
39,Decision making and learning while taking sequential risks.,TJ Pleskac,JEPLMC,34,1,167-85,https://osf.io/38ges/,"Adolescent, Adult, Association Learning, Bayes Theorem, Choice Behavior, Culture, Decision Making, Decision Theory, Female, Gambling [psychology], Health Behavior, Humans, Individuality, Male, Pattern Recognition, Visual, Psychomotor Performance, Risk-Taking, Stochastic Processes, Substance-Related Disorders [psychology]",1,4,Pleskac,848,Indiana University,Pleskac,848,Indiana University,Forsell,1,Stockholm School of Economics,Johannesson,15770,Stockholm School of Economics,40,3.53,3.53,2.2,2.2,1,Cognitive,1,Collected themselves,Moderate expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.5,4.25,0,0,0,0,0,3,1,0,E Forsell,8/20/14,11/26/14,J Cohoon,1,z = 3.10,68,<.05,,,Test of contrast of 4 correlated correlations.,main effect,comparison of correlations between ART and drug use in sunny versus cloudy conditions; a successful replication would find that the learning process hinders the diagnosticity of the ART in identifying individuals at increased risk of using hazardous drugs.,X,,60,80,99,Complete,72,0.87,9,B Lassetter,z = 1.25,153,0.21,same,2,Test of contrast of 4 correlated correlations.,main effect,no,0.87,X,A Laique,were unable to calculate power,1,https://osf.io/scqrd/,PhD or equivalent,1991,Professor (or equivalent),Some Expertise,Some Expertise,200,150,15633,was about the same quality as the original study,was about the same as the average study,Virtually identical,"The procedure, materials and analysis was identical to the original study. The average drug use and the variation in the drug use was lower than in the original study, and it cannot be ruled out that this has affected the results.",Slightly similar,Somewhat similar,Moderately challenging,Results were somewhat surprising,X,1,No data used was pre-existing,behavioral/experimental economics,68,z,is,,,3.1,<,0.05,0.001935206,0.001935206,,0.366615713,153,z,is,,,1.25,is,0.21,0.211299547,0.211299547,,0.101709161,,Test of contrast of 4 correlated correlations.,Comparison of difference between pairs of 2 correlations.,,1,0,1,68,153,,,
40,Body-and environmental-stabilized processing of spatial knowledge.,"W Mou, X Li, TP McNamara",JEPLMC,34,2,415-21,,"Adult, Female, Humans, Imagination, Kinesthesis, Male, Mental Recall, Orientation, Pattern Recognition, Visual, Psychophysics, Social Environment, Space Perception, Walking",3,,Mou,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,5,"F(1, 23) = 0.36",24,>.05,,,ANOVA,main effect,insignificant main effect of A-I distance in pointing latency,MSE = 0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,24,F,is,1,23,0.36,>,0.05,0.554372267,0.554372267,,0.124140883,,,,,,,,,,,,,,,,,,,,,,,,
41,Power and affordances: When the situation has more power overpowerful than powerless individuals,A Guinote,JPSP,94,2,237-52,https://osf.io/rx9ph/,"Attitude, Female, Humans, Male, Motivation, Power (Psychology)",1,1,Guinote,1284,University of Kent,Guinote,1284,University of Kent,Stienberg,53,Miami University,Steinberg,53,Miami University,96,2.61,2.61,2.94,2.94,6,Social,1,Collected themselves,Moderate expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,4,3,1,1,0,,0,1,0,0,M Steinberg,3-6-2014,,J Cohoon,6,"F(1, 68) = 4.14",72,<.05,,,ANOVA 2x2,interaction,"significant interaction between information and power: ""powerful participants spent more time reading situation relevant information compared with situation irrelevant information""",__p^2 = 0.0574,,134,178,218,Complete,134,0.8,1,F Bosco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,72,F,is,1,68,4.14,<,0.05,0.045782735,0.045782735,,0.239558785,,,,,,,,,,,,,,,,,,,,,,,,
42,A new taxonomy of Dutch personality traits based on a comprehensive and unrestricted list of descriptors.,"B De Raad, DP Barelds",JPSP,94,2,347-64,,"Ethnic Groups, Humans, Netherlands, Personality, Social Perception, Vocabulary",2,,De Raad,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,1,0,0,0,,,,J Cohoon,3,r = .50,1466,X,,,factor analysis,congruence coefficient,ninth factor (fearlessness) has a low congruence coefficient between the corresponding factors after rotation meaning it does not replicate the first 8 factors' strong congruence coefficients,r = .50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,1466,r_c,is,,,0.5,,,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
43,The rejection of moral rebels: Resenting those who do the right thing.,"B Monin, PJ Sawyer, MJ Marquez",JPSP,95,1,76-93,https://osf.io/pz0my/,"Adult, Character, Culture, Defense Mechanisms, Female, Humans, Imagination, Judgment, Male, Morals, Prejudice, Rejection (Psychology), Self Concept, Social Conformity, Social Desirability, Social Perception, Social Responsibility",3,2,Monin,2351,Stanford University,Monin,2351,Stanford University,Holubar,0,Stanford University,Frank,1965,Stanford University,88,6.54,6.54,6.54,6.54,4,Social,1,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.75,3.75,3,2,0,0,0,1,1,1,T Holubar,1-1-2012,3/15/12,S Fiedler,4,"F(2, 64) = 10.17",67,<.01,,,"ANOVA, omnibus",main effect,participants who self affirm rated moral rebels as highly as they rated obedient confederates,__p^2 = 0.241,,36,45,54,Complete,54,0.95,X,M Frank,"F(2, 72) = 1.97",75,0.1469,same,2,"ANOVA, omnibus",main effect,no,0.99,_^2 = 0.052,M Frank,,1,https://osf.io/27gpt/,PhD or equivalent,2010,Associate Professor (or equivalent),Some Expertise,Moderate Expertise,80,32,1995,was about the same quality as the original study,was about the same as the average study,Very similar,Data were collected on MTurk.,Not at all similar,Somewhat similar,Not at all challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Developmental,67,F,is,2,64,10.17,<,0.01,0.000146111,0.000146111,,0.347251138,75,F,is,2,72,1.97,is,0.1469,0.146902278,0.146902278,,0.161063754,,"ANOVA, omnibus",ANOVA,,1,0,1,64,72,,0,
44,Why do implicit and explicit attitude tests diverge? The role of structural fit.,"BK Payne, MA Burkley, MB Stokes",JPSP,94,1,16-31,https://osf.io/rc6mv/,"Adolescent, Adult, Alcohol Drinking, Analysis of Variance, Attitude, Behavioral Research [methods], Cognition, Emotions, Factor Analysis, Statistical, Female, Humans, Male, Prejudice, Psychological Tests, Reproducibility of Results, Social Conformity, Social Perception, Truth Disclosure",3,1,Payne,3452,"UNC, Chapel Hill",Payne,3452,"UNC, Chapel Hill",Vianello,493,University of Padua,Vianello,493,University of Padua,165,4.25,4.25,1.97,1.97,4,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3,4,3,3,0,0,0,1,1,0,M Vianello,1-1-2012,4/21/12,M Vianello,4,t(67) = 3.08,70,<.01,,,hierachical multiple linear regression,correlation,looking for a significant change in R^2; relationship between authors' direct and indirect procedures is moderated by percieved pressure to respond in a socially desirable manner ,_R^2=.09,,82,109,134,Complete,134,0.95,2,K Ratliff,t(176)= 2.016,180,0.045,same,,hierachical multiple linear regression,correlation,yes,0.99,_R^2 = .016,K Ratliff,(K. Payne sent all materials not available in the paper on Jan.31.12),1,https://osf.io/u23g9/,PhD or equivalent,2006,Assistant Professor (or equivalent),High Expertise,Moderate Expertise,38,26,367,was about the same quality as the original study,was about the same as the average study,Virtually identical,Italian sample vs US sample (original).,Somewhat similar,Very similar,Slightly challenging,Results were slightly surprising,X,1,No data used was pre-existing,both social and I&O psych,70,t,is,1,67,3.08,<,0.01,0.003000884,0.003000884,,0.352175067,180,t,is,1,176,2.016,is,0.045,0.045320778,0.045320778,,0.150236955,,hierachical multiple linear regression,hierachical multiple linear regression,,1,1,1,67,176,0.210684749,0,1
45,Are individuals' reputations related to their history of behavior?,"C Anderson, A Shirako",JPSP,94,2,320-33,,"Adult, Female, Humans, Male, Social Behavior, Social Perception",2,,Anderson,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,0,2,0,0,,,,M Kidwell,3,beta = .34,39,<.05,,,moderated multiple regression,interaction,"""the relation between cooperative behavior and reputaitons for cooperativeness depended upon individuals' social connectedness""",_ = .34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,39,beta,is,,,0.34,<,0.05,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.","CJ Soto, OP John, SD Gosling, J Potter",JPSP,94,4,718-37,https://osf.io/kez47/,"Adolescent, Adult, Child, Comprehension, Data Collection, Extraversion (Psychology), Female, Humans, Informed Consent, Internet, Language Development, Male, Patient Selection, Personality Development, Personality Inventory [statistics & numerical data], Psychometrics [statistics & numerical data], Reproducibility of Results, Self Concept, Vocabulary",4,1,Soto,1792,"UC, Berkeley",John,36658,"UC, Berkeley",Soderberg,2,Center for Open Science,Soderberg,2,Center for Open Science,132,5.61,5.61,3.07,3.07,1,Social,1,Some of both,Strong expertise required,No opportunity for researcher expectations to influence results,No opportunity for lack of diligence to affect the results,2.75,2.75,0,0,0,0,0,1,1,0,C Soderberg,7/15/14,12/18/14,M Kidwell,1,"F(21, 230025) = 118.15",230047,<.001,,1,LeveneÍs test for equality of variance,main effect,younger respondents show greater individual differences (variance) in their acquiescent response tendencies than older respondents.,X,,103,108,125,Complete,571143,0.99,1,A Laique,"F(21, 455304) = 261.93",455326,2.2 x 10-16,same,,LeveneÍs test for equality of variance,interaction,yes,0.99,X,L Lazarevic,,1,https://osf.io/3y9sj/,PhD or equivalent,2014,Post-doc or Research Scientist,Slight Expertise,Some Expertise,3,2,2,was about the same quality as the original study,was about the same as the average study,Virtually identical,none,Virtually identical,Extremely similar,Not at all challenging,Results were exactly as anticipated,X,1,All data used was pre-existing,Social,230047,F,is,21,230025,118.15,<,0.001,0,0,,0.022542373,455326,F,is,21,455304,261.93,is,2.20E-16,0,0,,0.023841537,,LeveneÍs test for equality of variance,levene's test for homogeneity of variance,,1,1,0,230025,455304,,0,
47,Hedonic tone and activation level in the mood-creativity link: Toward a dual pathway to creativity model.,"CK De Dreu, M Baas, BA Nijstad",JPSP,94,5,739-56,https://osf.io/9zg6x/,"Adolescent, Adult, Affect, Arousal, Concept Formation, Creativeness, Female, Humans, Imagination, Individuality, Male, Models, Psychological, Personality Inventory, Philosophy, Problem Solving",3,1,De Dreu,17538,University of Amsterdam,De Dreu,17538,University of Amsterdam,Cohoon,0,Center for Open Science,,,Center for Open Science,278,3.43,3.43,3.07,3.07,4,Social,,,,,,2.86,3.43,,,,,0,2,0,0,J Cohoon,2/28/15,,M Kidwell,4,z=2.45,546,<.015,,,Sobel test,mediation,cognitive flexibility mediates the effects of positive activating moods on creative fluency and originality.,X,,975,1300,1600,Complete,1600,0.95,2,S Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,546,z,is,,,2.45,<,0.015,0.014285621,0.014285621,,0.104753853,,,,,,,,,,,,,,,,,,,,,,,,
48,Terror management and adults' attachment to their parents: The safe haven remains.,"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon",JPSP,94,4,696-717,https://osf.io/5tbxf/,"Adaptation, Psychological, Adolescent, Adult, Adult Children [psychology], Attitude to Death, Defense Mechanisms, Fear, Female, Humans, Male, Mental Recall, Middle Aged, Object Attachment, Parent-Child Relations, Self Efficacy, Social Support",6,6,Cox,1071,"University of Missouri, Columbia",Pyszcynski,22870,"University of Colorado, Colorado Springs",Wissink,0,Tilburg University,Zeelenberg,8494,Tilburg University,74,2.62,2.62,3.03,3.03,6,Social,1,Collected themselves,Slight expertise required,Moderate opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,3.5,4.5,0,0,0,0,0,1,1,0,J Wissink,10/23/14,3-3-2015,J Cohoon,6,t(92)= -2.22,100,0.03,,,independent samples t-test,main effect,participants who scored low on avoidance but high on anxiety demonstrated an increased relative preference for a parent after MS as opposed to dental pain,pr^2 = 0.224,,30,39,48,Complete,100,0.99,9,A Laique,t(192) = -.73,200,0.47,opposite,2,Multiple regression,Simple slope effect,no,0.99,f2 = .05,E Baranski,effect size calculated from a partial R2 of .009165051,1,https://osf.io/fg2u9/,PhD or equivalent,1996,Professor (or equivalent),Some Expertise,High Expertise,200,85,8529,was of slightly lower quality than the original study,was slightly better than the average study,Very similar,1) We did not randomize the order of relationships in the cellphone task. 2) We did not include relationship status as a control variable.,Not at all similar,Slightly similar,Slightly challenging,Results were slightly surprising,X,1,No data used was pre-existing,Social,100,t,,1,92,-2.22,is,0.03,0.028875522,0.028875522,,0.225490086,200,t,is,1,192,-0.725548,is,0.47,0.468999328,0.468999328,,-0.052290282,,independent samples t-test,Multiple regression,,1,0,1,92,192,0.038588034,0,0
49,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,"D AlbarracÕn, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,95,3,510-23,https://osf.io/vy1bc/,"Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)",9,3,AlbarracÕn,5096,University of Illinois,AlbarracÕn,5096,University of Illinois,Kim,4,Stanford University,Frank,1965,Stanford University,46,3.85,3.85,6.54,6.54,7,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.57,3.28,1,1,0,0,0,1,1,1,S Kim,1-1-2012,3/15/12,J Cohoon,5,"F(1, 34) = 5.68",36,0.02,,,ANOVA,main effect,participants primed with action words performed better (i.e. solved more number of problems correctly) than participants primed with inaction words did,__p^2 = 0.143,,54,70,86,Complete,86,0.95,4,M Frank,"F(1, 86) = .08",88,0.77,opposite,2,ANOVA,main effect,no,0.96,_^2 = .00096,M Frank,,1,https://osf.io/gtewj/,PhD or equivalent,2010,Associate Professor (or equivalent),Some Expertise,Some Expertise,80,32,1995,was about the same quality as the original study,was about the same as the average study,Very similar,It was conducted on MTurk.,Not at all similar,Not at all similar,Not at all challenging,Results were moderately surprising,X,1,No data used was pre-existing,Developmental,36,F,is,1,34,5.68,is,0.02,0.022889441,0.022889441,,0.378345294,88,F,is,1,86,0.08,is,0.77,0.777977082,0.777977082,,-0.030485538,,ANOVA,ANOVA,,1,0,1,34,86,0.0893739,0,0
50,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,"D AlbarracÕn, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,95,3,510-23,https://osf.io/rgm6p/,"Attention, Awareness, Cues, Culture, Decision Making, Feeding Behavior, Female, Goals, Humans, Internal-External Control, Judgment, Male, Mental Recall, Persuasive Communication, Problem Solving, Psychomotor Performance, Semantics, Set (Psychology)",9,2,AlbarracÕn,5096,University of Illinois,AlbarracÕn,5096,University of Illinois,Voracek,6853,Stanford University,Voracek,6853,Stanford University,46,3.85,3.85,6.54,6.54,7,Social,1,Collected themselves,No expertise required,Moderate opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,3.75,3,1,1,0,0,0,1,1,0,C Sonnleitner,10/13/14,1-9-2015,J Cohoon,7,"F(2, 92) = 4.36",98,0.02,,,between ANOVA,interaction,"interaction of prime and task displaying the anticipated patterns; a greater number of thoughts were listed when participants were assigned to an action goal, rather than an inaction goal",__p^2 = 0.087,,105,136,165,Unavailable,165,0.95,4,F Cheung,"F(2, 99) = 2.601",105,0.085,same,,between ANOVA,interaction,no,0.82,__ = .049,J Matacotta,,1,https://osf.io/256xy/,PhD or equivalent,2003,Associate Professor (or equivalent),Moderate Expertise,Moderate Expertise,324,310,6714,was about the same quality as the original study,was about the same as the average study,Extremely similar,none,Not at all similar,Not at all similar,Not at all challenging,Results were slightly surprising,X,1,No data used was pre-existing,Personality,98,F,is,2,92,4.36,is,0.02,0.015520906,0.015520906,,0.208058463,109,F,is,2,103,2.601,is,0.0791,0.079067813,0.079067813,,0.155043132,,3x2 between ANOVA,two-way ANOVA,,1,0,1,92,103,,1,
51,The cost of lower self-esteem: Testing a self-and social-bonds model of health.,"DA Stinson, C Logel, MP Zanna, JG Holmes, JJ Cameron, JV Wood, SJ Spencer",JPSP,94,3,412-28,https://osf.io/wdhc5/,"Adolescent, Ego, Female, Health Status, Humans, Interpersonal Relations, Male, Models, Psychological, Self Concept, Social Behavior, Stress, Psychological [psychology], Students [psychology]",7,1,Stinson,403,University of Waterloo,Zanna,24873,University of Waterloo,Anderson,550,Schenectady County Community College,Anderson,550,Schenectady County Community College,83,2.98,2.98,1.43,1.43,2,Social,1,Collected themselves,Moderate expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.16,3.67,1,1,0,,0,1,0,0,C Anderson,8-8-2014,,J Cohoon,2,CI = -.63 to -.01,203,<.01,,,mediation analyses,confidence intervals,interpersonal stress and number of friends explains the associations between self esteem changes and health problems,X,,181,241,296,Complete,241,0.9,1,A Rutchick,,,,,,,,,,,,,,,PhD or equivalent,2002,Assistant Professor (or equivalent),Slight Expertise,Some Expertise,6,5,588,was about the same quality as the original study,was about the same as the average study,Moderately similar,"Recruitment of sample mostly from online sources rather than a classroom. Inclusion of students at more than one institution, therefore lack of communication among and common culture of participants.",Not at all similar,Not at all similar,Moderately challenging,Results were moderately surprising,X,1,No data used was pre-existing,Cognitive,203,,is,,,,<,0.01,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
52,Affective incoherence: When affective concepts and embodied reactions clash.,"DB Centerbar, S Schnall, GL Clore, ED Garvin",JPSP,94,4,560-78,https://osf.io/l8srm/,"Affect, Attention, Comprehension, Concept Formation, Conflict (Psychology), Cues, Culture, Female, Humans, Male, Memory, Short-Term, Mental Recall, Motivation, Reading, Retention (Psychology)",4,7,Centerbar,671,University of Massachusetts Medical School,Clore,25989,University of Virginia,Brown,23,Georgia Gwinnett College,Brown,23,Georgia Gwinnett College,35,2.91,4.36,1.42,1.42,5,Social,1,Collected themselves,Slight expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.12,3.25,4,4,0,0,0,1,1,0,B Brown,11-9-2012,8/26/13,S Mackinnon,5,"F(1, 131) = 5.79",133,<.02,,,RM ANOVA,interaction,affective coherence (as opposed to affective incoherence) produced a linear increase in cognitive complexity across three participant-generated narratives,_^2 = -.04,,64,86,104,Complete,104,0.95,1,J Crusius,"F(1, 111) = .99",113,0.322,same,,RM ANOVA,interaction,no,0.95,_2 = .014,M Penuliar,,1,https://osf.io/g29pw/,PhD or equivalent,2007,Assistant Professor (or equivalent),Some Expertise,Some Expertise,2,2,21,was about the same quality as the original study,was slightly better than the average study,Extremely similar,"The participants in the original study were college undergraduates from the University of Virginia, whereas our participants were also undergraduates from Georgia Gwinnett College. Unlike the University of Virginia, Georgia Gwinnett College is an open access institution with a diverse student population (in ethnicity, socioeconomic status, age, and preparedness of college). For example, the sample from UVA had an average age of 19.17 years. Our sample from GGC had an average age of 21.35 years.",Not at all similar,Not at all similar,Somewhat challenging,Results were moderately surprising,X,1,No data used was pre-existing,Developmental,133,F,is,1,131,5.79,<,0.02,0.017513309,0.017513309,,0.20573686,113,F,is,1,111,0.99,is,0.322,0.321906461,0.321906461,,0.094021673,,repeated measures 2x3 ANOVA,repeated measures 2x3 ANOVA,,1,0,1,131,111,0.15627525,1,1
53,Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.,"DM Amodio, PG Devine, E Harmon-Jones",JPSP,94,1,60-74,https://osf.io/wkgpq/,"African Americans, Analysis of Variance, Cognition, Conflict (Psychology), European Continental Ancestry Group, Evoked Potentials, Female, Group Processes, Humans, Inhibition (Psychology), Models, Psychological, Motivation, Neuropsychology, Prejudice, United States",3,3,Amodio,5439,NYU,Harmon-Jones,12887,Texas A&M University,Johnson,0,University of Southern California,Graham,3015,University of Southern California,136,5.19,3.45,4.05,4.05,2,Social,1,Collected themselves,Extreme expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,4.67,3,0,0,0,0,0,1,1,0,J Graham,8/15/12,1-1-2014,T Hayes,2,"F(1, 31) = 5.14",48,0.03,,,mixed ANOVA,interaction,"low-prejudice participants whose non-prejudiced responses were motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did participants motivated by a combination of internal and external factors, and that these group differences were specific to response control in the domain of prejudice",__p^2 = .16,0.99,14,18,20,Complete,20,0.95,1,C Pernet,"F(1, 73) = 0.432",75,0.513,same,,mixed ANOVA,interaction,no,0.99,__p^2 = 0.006,C Pernet,,1,https://osf.io/9gky5/,PhD or equivalent,2010,Assistant Professor (or equivalent),Moderate Expertise,Moderate Expertise,50,30,2909,was about the same quality as the original study,was better than the average study,Extremely similar,"sample, year of data collection",Slightly similar,Somewhat similar,Slightly challenging,Results were slightly surprising,X,1,No data used was pre-existing,Social,48,F,is,1,31,5.14,is,0.03,0.030503191,0.030503191,,0.377126878,75,F,is,1,73,0.432,is,0.513,0.513076239,0.513076239,,0.076700677,,mixed 2x2 ANOVA,mixed 2x2 ANOVA,,1,0,1,31,73,0.170926407,0,0
54,Why can't a man be more like a woman? Sex differences in Big Five personality traits across 55 cultures.,"DP Schmitt, A Realo, M Voracek, J Allik",JPSP,94,1,168-82,,"Biological Evolution, Cross-Cultural Comparison, Female, Gender Identity, Humans, Male, Personality [genetics], Psychological Theory, Sex, Social Conditions, Social Values, Socioeconomic Factors, Women's Rights",4,,Schmitt,,,,,,,,,,,,431,,,,,,,,,,,,,,,,,,1,0,0,0,,,,J Cohoon,1,"F(5, 35) = 8.42",41,0.00003,,,multiple regression,variance explained,4 predictors combined with HDI explain a majority of the variance in cross-cultural sex differences in personality,R = .74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,41,F,is,5,35,8.42,is,0.00003,2.62E-05,2.62E-05,,0.330467577,,,,,,,,,,,,,,,,,,,,,,,,
